song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0N8MGHEDAq29ip7RrlrTeN,0.537,0.837,0,-4.477,1,0.039,0.19,0,0.348,0.533,90.083,audio_features,0N8MGHEDAq29ip7RrlrTeN,spotify:track:0N8MGHEDAq29ip7RrlrTeN,https://api.spotify.com/v1/tracks/0N8MGHEDAq29ip7RrlrTeN,https://api.spotify.com/v1/audio-analysis/0N8MGHEDAq29ip7RrlrTeN,206120,4
5y3gdZTGBiN8lJVItlRDFH,0.553,0.769,2,-3.523,1,0.0397,0.0143,0,0.279,0.36,135.906,audio_features,5y3gdZTGBiN8lJVItlRDFH,spotify:track:5y3gdZTGBiN8lJVItlRDFH,https://api.spotify.com/v1/tracks/5y3gdZTGBiN8lJVItlRDFH,https://api.spotify.com/v1/audio-analysis/5y3gdZTGBiN8lJVItlRDFH,227318,4
1gdMKFGWrI34ZTO8k7Hfg6,0.494,0.767,10,-4.101,1,0.051,0.12,0,0.374,0.112,125.506,audio_features,1gdMKFGWrI34ZTO8k7Hfg6,spotify:track:1gdMKFGWrI34ZTO8k7Hfg6,https://api.spotify.com/v1/tracks/1gdMKFGWrI34ZTO8k7Hfg6,https://api.spotify.com/v1/audio-analysis/1gdMKFGWrI34ZTO8k7Hfg6,219451,3
5csOZijq5WoNyW8EBDNJ52,0.568,0.496,1,-7.083,0,0.0371,0.135,1.54E-06,0.231,0.198,103.011,audio_features,5csOZijq5WoNyW8EBDNJ52,spotify:track:5csOZijq5WoNyW8EBDNJ52,https://api.spotify.com/v1/tracks/5csOZijq5WoNyW8EBDNJ52,https://api.spotify.com/v1/audio-analysis/5csOZijq5WoNyW8EBDNJ52,202644,4
4mEILaBM7bKZqKAun5tABu,0.547,0.789,8,-5.619,1,0.042,0.00871,0,0.1,0.345,129.916,audio_features,4mEILaBM7bKZqKAun5tABu,spotify:track:4mEILaBM7bKZqKAun5tABu,https://api.spotify.com/v1/tracks/4mEILaBM7bKZqKAun5tABu,https://api.spotify.com/v1/audio-analysis/4mEILaBM7bKZqKAun5tABu,193911,4
4QVS8YCpK71R4FsxSMCjhP,0.548,0.839,6,-2.371,1,0.0644,0.135,0,0.102,0.314,98.932,audio_features,4QVS8YCpK71R4FsxSMCjhP,spotify:track:4QVS8YCpK71R4FsxSMCjhP,https://api.spotify.com/v1/tracks/4QVS8YCpK71R4FsxSMCjhP,https://api.spotify.com/v1/audio-analysis/4QVS8YCpK71R4FsxSMCjhP,218296,4
65Bynqyt59f3fojjs1Uo41,0.695,0.695,2,-6.612,1,0.0706,0.489,0.00019,0.131,0.468,100.021,audio_features,65Bynqyt59f3fojjs1Uo41,spotify:track:65Bynqyt59f3fojjs1Uo41,https://api.spotify.com/v1/tracks/65Bynqyt59f3fojjs1Uo41,https://api.spotify.com/v1/audio-analysis/65Bynqyt59f3fojjs1Uo41,189787,4
1JAI05qVmtpKypuvOvcrJn,0.532,0.616,10,-7.074,0,0.0328,0.186,0,0.0928,0.292,101.883,audio_features,1JAI05qVmtpKypuvOvcrJn,spotify:track:1JAI05qVmtpKypuvOvcrJn,https://api.spotify.com/v1/tracks/1JAI05qVmtpKypuvOvcrJn,https://api.spotify.com/v1/audio-analysis/1JAI05qVmtpKypuvOvcrJn,223147,4
6HoXpEnhzeDpz7gYgGaYF0,0.407,0.722,6,-5.44,1,0.094,0.0658,0,0.115,0.392,88.017,audio_features,6HoXpEnhzeDpz7gYgGaYF0,spotify:track:6HoXpEnhzeDpz7gYgGaYF0,https://api.spotify.com/v1/tracks/6HoXpEnhzeDpz7gYgGaYF0,https://api.spotify.com/v1/audio-analysis/6HoXpEnhzeDpz7gYgGaYF0,197333,4
1wjjc9SGlmzzXDI26gim3p,0.53,0.763,4,-3.348,1,0.0367,0.242,0,0.117,0.226,100.002,audio_features,1wjjc9SGlmzzXDI26gim3p,spotify:track:1wjjc9SGlmzzXDI26gim3p,https://api.spotify.com/v1/tracks/1wjjc9SGlmzzXDI26gim3p,https://api.spotify.com/v1/audio-analysis/1wjjc9SGlmzzXDI26gim3p,182400,4
