song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,aures__id,uri,track_href,analysis_url,duration_ms,time_signature
0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,audio_features,0u2P5u6lvoDfwTYjAADbn4,spotify:track:0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4,200186,4
08wURIBZsaN1sCIDewNdrX,0.405,0.404,6,-8.954,0,0.208,0.682,0,0.0962,0.267,178.529,audio_features,08wURIBZsaN1sCIDewNdrX,spotify:track:08wURIBZsaN1sCIDewNdrX,https://api.spotify.com/v1/tracks/08wURIBZsaN1sCIDewNdrX,https://api.spotify.com/v1/audio-analysis/08wURIBZsaN1sCIDewNdrX,175467,4
0VhgEqMTNZwYL1ARDLLNCX,0.696,0.543,11,-6.164,1,0.0489,0.308,0,0.0939,0.479,107.969,audio_features,0VhgEqMTNZwYL1ARDLLNCX,spotify:track:0VhgEqMTNZwYL1ARDLLNCX,https://api.spotify.com/v1/tracks/0VhgEqMTNZwYL1ARDLLNCX,https://api.spotify.com/v1/audio-analysis/0VhgEqMTNZwYL1ARDLLNCX,246880,4
7sTtHHrD0zDpmzQzH3zegz,0.455,0.292,0,-6.792,1,0.0563,0.889,0,0.106,0.43,84.339,audio_features,7sTtHHrD0zDpmzQzH3zegz,spotify:track:7sTtHHrD0zDpmzQzH3zegz,https://api.spotify.com/v1/tracks/7sTtHHrD0zDpmzQzH3zegz,https://api.spotify.com/v1/audio-analysis/7sTtHHrD0zDpmzQzH3zegz,178467,5
69vToJ9BMbbLlFZo7k7A7B,0.331,0.235,10,-7.7,1,0.0299,0.918,0,0.137,0.218,171.232,audio_features,69vToJ9BMbbLlFZo7k7A7B,spotify:track:69vToJ9BMbbLlFZo7k7A7B,https://api.spotify.com/v1/tracks/69vToJ9BMbbLlFZo7k7A7B,https://api.spotify.com/v1/audio-analysis/69vToJ9BMbbLlFZo7k7A7B,204326,3
2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,audio_features,2RttW7RAu5nOAfq6YFvApB,spotify:track:2RttW7RAu5nOAfq6YFvApB,https://api.spotify.com/v1/tracks/2RttW7RAu5nOAfq6YFvApB,https://api.spotify.com/v1/audio-analysis/2RttW7RAu5nOAfq6YFvApB,207520,4
4VPXFi4vFTtS9wHe6oMQaT,0.485,0.332,4,-9.244,1,0.0338,0.784,0.000122,0.146,0.273,130.813,audio_features,4VPXFi4vFTtS9wHe6oMQaT,spotify:track:4VPXFi4vFTtS9wHe6oMQaT,https://api.spotify.com/v1/tracks/4VPXFi4vFTtS9wHe6oMQaT,https://api.spotify.com/v1/audio-analysis/4VPXFi4vFTtS9wHe6oMQaT,180640,4
2JqnpexlO9dmvjUMCaLCLJ,0.55,0.415,9,-6.557,0,0.052,0.161,0,0.108,0.274,172.065,audio_features,2JqnpexlO9dmvjUMCaLCLJ,spotify:track:2JqnpexlO9dmvjUMCaLCLJ,https://api.spotify.com/v1/tracks/2JqnpexlO9dmvjUMCaLCLJ,https://api.spotify.com/v1/audio-analysis/2JqnpexlO9dmvjUMCaLCLJ,205463,4
1almCHdsfikRPfVB9VrEdT,0.5,0.292,0,-8.554,1,0.0323,0.746,0,0.188,0.37,145.879,audio_features,1almCHdsfikRPfVB9VrEdT,spotify:track:1almCHdsfikRPfVB9VrEdT,https://api.spotify.com/v1/tracks/1almCHdsfikRPfVB9VrEdT,https://api.spotify.com/v1/audio-analysis/1almCHdsfikRPfVB9VrEdT,185200,4
7krbSH3rd8lhIZvuzTV3Bl,0.529,0.607,6,-6.781,1,0.0574,0.104,0,0.0631,0.238,101.966,audio_features,7krbSH3rd8lhIZvuzTV3Bl,spotify:track:7krbSH3rd8lhIZvuzTV3Bl,https://api.spotify.com/v1/tracks/7krbSH3rd8lhIZvuzTV3Bl,https://api.spotify.com/v1/audio-analysis/7krbSH3rd8lhIZvuzTV3Bl,234107,4
4VuS959DSpr82t3qBqCrWG,0.589,0.242,6,-10.517,1,0.0442,0.914,0,0.0887,0.257,89.749,audio_features,4VuS959DSpr82t3qBqCrWG,spotify:track:4VuS959DSpr82t3qBqCrWG,https://api.spotify.com/v1/tracks/4VuS959DSpr82t3qBqCrWG,https://api.spotify.com/v1/audio-analysis/4VuS959DSpr82t3qBqCrWG,221107,4
0jllH0usRFD4LJkJnGK9Lf,0.657,0.355,7,-12.044,1,0.0714,0.694,0.000427,0.123,0.0808,74.99,audio_features,0jllH0usRFD4LJkJnGK9Lf,spotify:track:0jllH0usRFD4LJkJnGK9Lf,https://api.spotify.com/v1/tracks/0jllH0usRFD4LJkJnGK9Lf,https://api.spotify.com/v1/audio-analysis/0jllH0usRFD4LJkJnGK9Lf,189000,4
2TIlqbIneP0ZY1O0EzYLlc,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,audio_features,2TIlqbIneP0ZY1O0EzYLlc,spotify:track:2TIlqbIneP0ZY1O0EzYLlc,https://api.spotify.com/v1/tracks/2TIlqbIneP0ZY1O0EzYLlc,https://api.spotify.com/v1/audio-analysis/2TIlqbIneP0ZY1O0EzYLlc,182161,4
5Cv1xqpyciZZuHHR7xr2l0,0.62,0.288,4,-9.431,1,0.123,0.801,0,0.344,0.691,100.385,audio_features,5Cv1xqpyciZZuHHR7xr2l0,spotify:track:5Cv1xqpyciZZuHHR7xr2l0,https://api.spotify.com/v1/tracks/5Cv1xqpyciZZuHHR7xr2l0,https://api.spotify.com/v1/audio-analysis/5Cv1xqpyciZZuHHR7xr2l0,184468,4
0UkZ0epPTahsPgLXacC5EG,0.451,0.452,1,-9.363,0,0.0574,0.439,0,0.478,0.386,57.523,audio_features,0UkZ0epPTahsPgLXacC5EG,spotify:track:0UkZ0epPTahsPgLXacC5EG,https://api.spotify.com/v1/tracks/0UkZ0epPTahsPgLXacC5EG,https://api.spotify.com/v1/audio-analysis/0UkZ0epPTahsPgLXacC5EG,190619,4
0kBEfabq01Jr6UgWL9H87n,0.545,0.212,8,-10.843,1,0.0549,0.944,0,0.0939,0.226,81.053,audio_features,0kBEfabq01Jr6UgWL9H87n,spotify:track:0kBEfabq01Jr6UgWL9H87n,https://api.spotify.com/v1/tracks/0kBEfabq01Jr6UgWL9H87n,https://api.spotify.com/v1/audio-analysis/0kBEfabq01Jr6UgWL9H87n,193628,3
7fkXzzIVo98CgjOkpd9H0V,0.447,0.206,3,-11.75,1,0.0519,0.956,4.56E-06,0.107,0.327,66.734,audio_features,7fkXzzIVo98CgjOkpd9H0V,spotify:track:7fkXzzIVo98CgjOkpd9H0V,https://api.spotify.com/v1/tracks/7fkXzzIVo98CgjOkpd9H0V,https://api.spotify.com/v1/audio-analysis/7fkXzzIVo98CgjOkpd9H0V,240791,4
5NlV5HVIfgk5eHxvAGGTfy,0.72,0.316,8,-12.532,0,0.0414,0.803,0.00016,0.154,0.442,98.925,audio_features,5NlV5HVIfgk5eHxvAGGTfy,spotify:track:5NlV5HVIfgk5eHxvAGGTfy,https://api.spotify.com/v1/tracks/5NlV5HVIfgk5eHxvAGGTfy,https://api.spotify.com/v1/audio-analysis/5NlV5HVIfgk5eHxvAGGTfy,192920,4
2GwShNdcJHDLEkGO4L34lF,0.448,0.256,5,-10.17,1,0.0483,0.875,0,0.113,0.174,77.272,audio_features,2GwShNdcJHDLEkGO4L34lF,spotify:track:2GwShNdcJHDLEkGO4L34lF,https://api.spotify.com/v1/tracks/2GwShNdcJHDLEkGO4L34lF,https://api.spotify.com/v1/audio-analysis/2GwShNdcJHDLEkGO4L34lF,219977,4
2TukzxmwVW0JkiI8isgUXd,0.417,0.498,9,-6.077,1,0.0845,0.838,0,0.0748,0.37,179.801,audio_features,2TukzxmwVW0JkiI8isgUXd,spotify:track:2TukzxmwVW0JkiI8isgUXd,https://api.spotify.com/v1/tracks/2TukzxmwVW0JkiI8isgUXd,https://api.spotify.com/v1/audio-analysis/2TukzxmwVW0JkiI8isgUXd,192333,4
2BkyYZmU4JuWW2sYi9EzpC,0.613,0.739,10,-6.478,1,0.0311,0.526,0,0.149,0.712,104.966,audio_features,2BkyYZmU4JuWW2sYi9EzpC,spotify:track:2BkyYZmU4JuWW2sYi9EzpC,https://api.spotify.com/v1/tracks/2BkyYZmU4JuWW2sYi9EzpC,https://api.spotify.com/v1/audio-analysis/2BkyYZmU4JuWW2sYi9EzpC,211453,4
4KnnWpUyPfQD6X5SQSTlH3,0.68,0.346,7,-6.533,1,0.0302,0.231,0,0.26,0.224,95.952,audio_features,4KnnWpUyPfQD6X5SQSTlH3,spotify:track:4KnnWpUyPfQD6X5SQSTlH3,https://api.spotify.com/v1/tracks/4KnnWpUyPfQD6X5SQSTlH3,https://api.spotify.com/v1/audio-analysis/4KnnWpUyPfQD6X5SQSTlH3,223562,4
5GT8b1dFaOWFF5twsmSOYx,0.595,0.608,5,-5.303,0,0.0373,0.358,0,0.0843,0.452,60.878,audio_features,5GT8b1dFaOWFF5twsmSOYx,spotify:track:5GT8b1dFaOWFF5twsmSOYx,https://api.spotify.com/v1/tracks/5GT8b1dFaOWFF5twsmSOYx,https://api.spotify.com/v1/audio-analysis/5GT8b1dFaOWFF5twsmSOYx,175061,4
4GUXTRTjQ4voLzwLw9qbPx,0.46,0.498,5,-6.312,1,0.0282,0.219,0.00329,0.099,0.154,76.902,audio_features,4GUXTRTjQ4voLzwLw9qbPx,spotify:track:4GUXTRTjQ4voLzwLw9qbPx,https://api.spotify.com/v1/tracks/4GUXTRTjQ4voLzwLw9qbPx,https://api.spotify.com/v1/audio-analysis/4GUXTRTjQ4voLzwLw9qbPx,192993,4
72C7aUQECOhNtnD0AC36ua,0.512,0.754,0,-6.031,1,0.055,0.135,0,0.0881,0.336,147.89,audio_features,72C7aUQECOhNtnD0AC36ua,spotify:track:72C7aUQECOhNtnD0AC36ua,https://api.spotify.com/v1/tracks/72C7aUQECOhNtnD0AC36ua,https://api.spotify.com/v1/audio-analysis/72C7aUQECOhNtnD0AC36ua,201693,4
5NRl32BO29q8xtWFvOlHZE,0.388,0.372,6,-5.72,1,0.0468,0.928,0,0.146,0.285,89.701,audio_features,5NRl32BO29q8xtWFvOlHZE,spotify:track:5NRl32BO29q8xtWFvOlHZE,https://api.spotify.com/v1/tracks/5NRl32BO29q8xtWFvOlHZE,https://api.spotify.com/v1/audio-analysis/5NRl32BO29q8xtWFvOlHZE,254507,4
41WTP0gosjYD74B06uS2tL,0.531,0.347,0,-7.044,1,0.0345,0.905,0,0.0935,0.289,114.441,audio_features,41WTP0gosjYD74B06uS2tL,spotify:track:41WTP0gosjYD74B06uS2tL,https://api.spotify.com/v1/tracks/41WTP0gosjYD74B06uS2tL,https://api.spotify.com/v1/audio-analysis/41WTP0gosjYD74B06uS2tL,224743,4
5hwh37sTi84MVhCBMWzhGE,0.477,0.242,8,-9.162,1,0.0529,0.928,0,0.0818,0.488,43.509,audio_features,5hwh37sTi84MVhCBMWzhGE,spotify:track:5hwh37sTi84MVhCBMWzhGE,https://api.spotify.com/v1/tracks/5hwh37sTi84MVhCBMWzhGE,https://api.spotify.com/v1/audio-analysis/5hwh37sTi84MVhCBMWzhGE,207973,4
0mel2N9Ws9r4yLQn5QE21Y,0.653,0.378,5,-8.273,1,0.0533,0.658,0,0.177,0.54,91.835,audio_features,0mel2N9Ws9r4yLQn5QE21Y,spotify:track:0mel2N9Ws9r4yLQn5QE21Y,https://api.spotify.com/v1/tracks/0mel2N9Ws9r4yLQn5QE21Y,https://api.spotify.com/v1/audio-analysis/0mel2N9Ws9r4yLQn5QE21Y,201000,4
